season,player,salary,real_value,difference,games,status,player_hh
2009-10,Dwyane Wade,15779912.0,27392367.0,11612455.0,82.0,U,Dwyane Wade
2021-22,Jordan Poole,2161440.0,13751963.0,11590523.0,98.0,U,Jordan Poole
1998-99,Tim Duncan,3413000.0,14971666.0,11558666.0,67.0,U,Tim Duncan
2017-18,Tyreke Evans,3290000.0,14812731.0,11522731.0,52.0,U,Tyreke Evans
2019-20,Fred VanVleet,9346153.0,20840037.0,11493884.0,65.0,U,Fred VanVleet
2007-08,Dwight Howard,6061274.0,17544157.0,11482883.0,92.0,U,Dwight Howard
2005-06,Chris Bosh,3348000.0,14792102.0,11444102.0,70.0,U,Chris Bosh
2016-17,Kyle Lowry,12000000.0,23441267.0,11441267.0,68.0,U,Kyle Lowry
2005-06,Carmelo Anthony,3713640.0,15148273.0,11434633.0,85.0,U,Carmelo Anthony
2016-17,Russell Westbrook,26540100.0,37963967.0,11423867.0,86.0,U,Russell Westbrook
2016-17,John Wall,15756438.0,27172108.0,11415670.0,91.0,U,John Wall
2014-15,Klay Thompson,3075880.0,14478953.0,11403073.0,98.0,U,Klay Thompson
2011-12,Blake Griffin,5731080.0,17124743.0,11393663.0,77.0,U,Blake Griffin
2006-07,Chris Paul,3380160.0,14645137.0,11264977.0,64.0,U,Chris Paul
2013-14,Isaiah Thomas,884293.0,12110270.0,11225977.0,72.0,U,Isaiah Thomas
2013-14,Stephen Curry,9887642.0,21070013.0,11182371.0,85.0,U,Stephen Curry
2005-06,Gilbert Arenas,10243200.0,21397013.0,11153813.0,86.0,U,Gilbert Arenas
2005-06,Kobe Bryant,15946875.0,27092547.0,11145672.0,87.0,U,Kobe Bryant
2017-18,Devin Booker,2319360.0,13450510.0,11131150.0,54.0,U,Devin Booker
2018-19,Kemba Walker,12000000.0,23093005.0,11093005.0,82.0,U,Kemba Walker
2010-11,Dwyane Wade,14200000.0,25201385.0,11001385.0,97.0,U,Dwyane Wade
2017-18,Kristaps Porzingis,4503600.0,15435103.0,10931503.0,48.0,U,Kristaps Porzingis
2000-01,Steve Francis,3246960.0,14134922.0,10887962.0,80.0,U,Steve Francis
2017-18,Lou Williams,7000000.0,17818388.0,10818388.0,79.0,U,Louis Williams
2002-03,Dirk Nowitzki,10067750.0,20884056.0,10816306.0,97.0,U,Dirk Nowitzki
2001-02,Andre Miller,1934520.0,12713535.0,10779015.0,81.0,U,Andre Miller
2000-01,Kobe Bryant,10130000.0,20871035.0,10741035.0,84.0,U,Kobe Bryant
2019-20,Brandon Ingram,7265485.0,18005609.0,10740124.0,62.0,U,Brandon Ingram
2007-08,Andre Iguodala,2804889.0,13544433.0,10739544.0,88.0,U,Andre Iguodala
2013-14,Damian Lillard,3202920.0,13941791.0,10738871.0,93.0,U,Damian Lillard
2003-04,Peja Stojakovic,6250000.0,16970142.0,10720142.0,93.0,U,Predrag Stojakovic
2000-01,Paul Pierce,1608840.0,12325302.0,10716462.0,82.0,U,Paul Pierce
2021-22,Tyler Herro,4004280.0,14674741.0,10670461.0,81.0,U,Tyler Herro
2005-06,Chris Paul,3144240.0,13778875.0,10634635.0,78.0,U,Chris Paul
2002-03,Steve Francis,4383581.0,15018191.0,10634610.0,81.0,U,Steve Francis
2014-15,Kyrie Irving,7459924.0,18079631.0,10619707.0,88.0,U,Kyrie Irving
2002-03,Michael Jordan,1030000.0,11603698.0,10573698.0,82.0,U,Michael Jordan
2017-18,Gary Harris,2550055.0,13017724.0,10467669.0,67.0,U,Gary Harris
2014-15,Russell Westbrook,15719062.0,26174969.0,10455907.0,67.0,U,Russell Westbrook
1998-99,Charles Barkley,1000000.0,11417398.0,10417398.0,46.0,U,Charles Barkley
2006-07,Luol Deng,2614440.0,13030253.0,10415813.0,92.0,U,Luol Deng
2001-02,Michael Jordan,1000000.0,11374691.0,10374691.0,60.0,U,Michael Jordan
2000-01,Allen Iverson,10130000.0,20494584.0,10364584.0,93.0,U,Allen Iverson
2013-14,Eric Bledsoe,2626473.0,12981885.0,10355412.0,43.0,U,Eric Bledsoe
2004-05,Andrei Kirilenko,1671694.0,12011104.0,10339410.0,41.0,U,Andrei Kirilenko
2011-12,Brandon Jennings,2493720.0,12822250.0,10328530.0,66.0,U,Brandon Jennings
2010-11,Blake Griffin,5357280.0,15659663.0,10302383.0,82.0,U,Blake Griffin
2015-16,LeBron James,22970500.0,33254990.0,10284490.0,97.0,U,LeBron James
2021-22,Tyrese Haliburton,4023600.0,14291162.0,10267562.0,77.0,U,Tyrese Haliburton
2015-16,Giannis Antetokounmpo,1953960.0,12197912.0,10243952.0,80.0,U,Giannis Antetokounmpo
2010-11,Kevin Love,3638280.0,13872220.0,10233940.0,73.0,U,Kevin Love
2019-20,Cameron Payne,196288.0,10390286.0,10193998.0,8.0,U,Cameron Payne
2020-21,John Collins,4137302.0,14317279.0,10179977.0,81.0,U,John Collins
2012-13,Paul George,2574120.0,12686137.0,10112017.0,98.0,U,Paul George
2003-04,Zach Randolph,1172160.0,11281176.0,10109016.0,81.0,U,Zach Randolph
1999-00,Tim Duncan,3858240.0,13956609.0,10098369.0,74.0,U,Tim Duncan
2003-04,Richard Jefferson,1586280.0,11664152.0,10077872.0,93.0,U,Richard Jefferson
2018-19,Domantas Sabonis,2659800.0,12714648.0,10054848.0,78.0,U,Domantas Sabonis
2018-19,Luka Doncic,6569040.0,16612077.0,10043037.0,72.0,U,Luka Doncic
2013-14,Chandler Parsons,926500.0,10967486.0,10040986.0,80.0,U,Chandler Parsons
2017-18,Giannis Antetokounmpo,22471911.0,32509614.0,10037703.0,82.0,U,Giannis Antetokounmpo
2016-17,James Harden,26540100.0,36563506.0,10023406.0,92.0,U,James Harden
2015-16,James Harden,15719062.0,25708581.0,9989519.0,87.0,U,James Harden
2012-13,Ty Lawson,2544528.0,12508481.0,9963953.0,79.0,U,Ty Lawson
2016-17,Jimmy Butler,17552209.0,27491508.0,9939299.0,82.0,U,Jimmy Butler
2015-16,CJ McCollum,2525160.0,12442467.0,9917307.0,91.0,U,CJ McCollum
2013-14,DeMarcus Cousins,4916973.0,14830644.0,9913671.0,71.0,U,DeMarcus Cousins
2017-18,LeBron James,33285709.0,43158438.0,9872729.0,104.0,U,LeBron James
2006-07,Andre Iguodala,2201640.0,12041425.0,9839785.0,76.0,U,Andre Iguodala
2021-22,Robert Williams III,3661976.0,13493114.0,9831138.0,78.0,U,Robert Williams
2018-19,Buddy Hield,3833760.0,13648350.0,9814590.0,82.0,U,Buddy Hield
2010-11,Eric Gordon,3016680.0,12823511.0,9806831.0,56.0,U,Eric Gordon
2018-19,Derrick Rose,2176260.0,11979285.0,9803025.0,51.0,U,Derrick Rose
2005-06,Boris Diaw,1174200.0,10948455.0,9774255.0,101.0,U,Boris Diaw
2006-07,Chauncey Billups,6364400.0,16129712.0,9765312.0,86.0,U,Chauncey Billups
2019-20,Caris LeVert,2625717.0,12386411.0,9760694.0,49.0,U,Caris LeVert
2008-09,LaMarcus Aldridge,4631400.0,14383496.0,9752096.0,87.0,U,LaMarcus Aldridge
2014-15,Draymond Green,915243.0,10661761.0,9746518.0,100.0,U,Draymond Green
1999-00,Vince Carter,2267280.0,12009526.0,9742246.0,85.0,U,Vince Carter
2001-02,Vince Carter,3073032.0,12800784.0,9727752.0,60.0,U,Vince Carter
2021-22,LaMelo Ball,8231760.0,17949728.0,9717968.0,76.0,U,LaMelo Ball
2011-12,Ryan Anderson,2244601.0,11957179.0,9712578.0,66.0,U,Ryan Anderson
2005-06,Yao Ming,5594906.0,15303392.0,9708486.0,57.0,U,Yao Ming
2019-20,Montrezl Harrell,6000000.0,15686814.0,9686814.0,76.0,U,Montrezl Harrell
2011-12,Eric Gordon,3831184.0,13397858.0,9566674.0,9.0,U,Eric Gordon
2011-12,Jeremy Lin,762195.0,10328308.0,9566113.0,35.0,U,Jeremy Lin
2006-07,Kevin Martin,1002840.0,10549909.0,9547069.0,80.0,U,Kevin Martin
2007-08,Al Jefferson,2480885.0,12018040.0,9537155.0,82.0,U,Al Jefferson
2018-19,Nikola Vucevic,12750000.0,22276254.0,9526254.0,85.0,U,Nikola Vucevic
2019-20,Jarrett Allen,2376840.0,11888766.0,9511926.0,74.0,U,Jarrett Allen
2000-01,Shawn Marion,1662240.0,11155711.0,9493471.0,83.0,U,Shawn Marion
2009-10,Russell Westbrook,3755640.0,13194295.0,9438655.0,88.0,U,Russell Westbrook
2002-03,Gilbert Arenas,512435.0,9917288.0,9404853.0,82.0,U,Gilbert Arenas
2018-19,De'Aaron Fox,5470920.0,14875700.0,9404780.0,81.0,U,De'Aaron Fox
1997-98,Karl Malone,5118578.0,14514776.0,9396198.0,101.0,U,Karl Malone
2009-10,Aaron Brooks,1118520.0,10484308.0,9365788.0,82.0,U,Aaron Brooks
2016-17,Dennis Schroder,2708582.0,12062613.0,9354031.0,85.0,U,Dennis Schroeder
2005-06,Allen Iverson,16453125.0,25776797.0,9323672.0,72.0,U,Allen Iverson
2003-04,Carlos Boozer,563679.0,9883286.0,9319607.0,75.0,U,Carlos Boozer
2021-22,Joel Embiid,31579390.0,40894151.0,9314761.0,78.0,U,Joel Embiid
2001-02,Elton Brand,3882360.0,13192092.0,9309732.0,80.0,U,Elton Brand
2006-07,Gilbert Arenas,11096800.0,20399459.0,9302659.0,74.0,U,Gilbert Arenas
2015-16,Isaiah Thomas,6912869.0,16206974.0,9294105.0,88.0,U,Isaiah Thomas
1998-99,Allen Iverson,3537000.0,12768392.0,9231392.0,56.0,U,Allen Iverson
2015-16,Kawhi Leonard,16407500.0,25625879.0,9218379.0,82.0,U,Kawhi Leonard
2003-04,Sam Cassell,5062500.0,14276746.0,9214246.0,97.0,U,Sam Cassell
2006-07,Steve Nash,10500000.0,19698266.0,9198266.0,87.0,U,Steve Nash
2007-08,Andrew Bynum,2172000.0,11331688.0,9159688.0,35.0,U,Andrew Bynum
2013-14,Kawhi Leonard,1991760.0,11128746.0,9136986.0,89.0,U,Kawhi Leonard
2005-06,Josh Howard,923880.0,10050859.0,9126979.0,82.0,U,Josh Howard
1995-96,Michael Jordan,3850000.0,12958180.0,9108180.0,100.0,U,Michael Jordan
2015-16,Andre Drummond,3272090.0,12373379.0,9101289.0,85.0,U,Andre Drummond
2008-09,Kevin Durant,4484040.0,13583226.0,9099186.0,74.0,U,Kevin Durant
2006-07,Dirk Nowitzki,15101625.0,24178593.0,9076968.0,84.0,U,Dirk Nowitzki
2020-21,Joel Embiid,29542010.0,38566234.0,9024224.0,62.0,U,Joel Embiid
2001-02,Baron Davis,3119400.0,12142291.0,9022891.0,91.0,U,Baron Davis
2016-17,LeBron James,30963450.0,39982683.0,9019233.0,92.0,U,LeBron James
2016-17,Kevin Durant,26540100.0,35543730.0,9003630.0,77.0,U,Kevin Durant
2008-09,Devin Harris,7800000.0,16752115.0,8952115.0,69.0,U,Devin Harris
2017-18,Kevin Durant,25000000.0,33949168.0,8949168.0,89.0,U,Kevin Durant
2012-13,Jrue Holiday,2674851.0,11609344.0,8934493.0,78.0,U,Jrue Holiday
2020-21,Mikal Bridges,4359000.0,13264826.0,8905826.0,94.0,U,Mikal Bridges
2018-19,Spencer Dinwiddie,1656092.0,10550698.0,8894606.0,73.0,U,Spencer Dinwiddie
2005-06,Elton Brand,13152000.0,22044302.0,8892302.0,91.0,U,Elton Brand
2016-17,Jabari Parker,5374320.0,14261145.0,8886825.0,51.0,U,Jabari Parker
2014-15,Pau Gasol,7128000.0,16005481.0,8877481.0,88.0,U,Pau Gasol
2004-05,Larry Hughes,5455200.0,14321310.0,8866110.0,71.0,U,Larry Hughes
2007-08,Josh Smith,2243543.0,11081244.0,8837701.0,88.0,U,Josh Smith
2002-03,Jason Terry,2153934.0,10986023.0,8832089.0,81.0,U,Jason Terry
2017-18,Will Barton,3533333.0,12336288.0,8802955.0,81.0,U,Will Barton
2004-05,Dirk Nowitzki,12584688.0,21374188.0,8789500.0,91.0,U,Dirk Nowitzki
2013-14,Kyle Lowry,6210000.0,14991025.0,8781025.0,86.0,U,Kyle Lowry
2018-19,Montrezl Harrell,6000000.0,14773913.0,8773913.0,88.0,U,Montrezl Harrell
2020-21,Richaun Holmes,5005350.0,13761350.0,8756000.0,61.0,U,Richaun Holmes
2020-21,Devonte' Graham,1663861.0,10415849.0,8751988.0,56.0,U,Devonte Graham
2009-10,Derrick Rose,5184480.0,13925790.0,8741310.0,83.0,U,Derrick Rose
2009-10,Chris Paul,13520500.0,22257280.0,8736780.0,45.0,U,Chris Paul
2013-14,Kemba Walker,2709720.0,11417072.0,8707352.0,77.0,U,Kemba Walker
1998-99,Karl Malone,6142000.0,14842807.0,8700807.0,60.0,U,Karl Malone
2011-12,James Harden,4604760.0,13261923.0,8657163.0,82.0,U,James Harden
2006-07,David West,2051938.0,10707489.0,8655551.0,52.0,U,David West
2004-05,Tony Parker,1545441.0,10197054.0,8651613.0,103.0,U,Tony Parker
2021-22,Keldon Johnson,2145720.0,10796383.0,8650663.0,76.0,U,Keldon Johnson
2007-08,Jose Calderon,2471604.0,11068533.0,8596929.0,87.0,U,Jose Calderon
2016-17,Gary Harris,1655880.0,10251501.0,8595621.0,57.0,U,Gary Harris
2005-06,Steve Nash,9625000.0,18208278.0,8583278.0,99.0,U,Steve Nash
2018-19,Lou Williams,8000000.0,16579497.0,8579497.0,81.0,U,Louis Williams
2006-07,Deron Williams,3749040.0,12312442.0,8563402.0,97.0,U,Deron Williams
2018-19,D'Angelo Russell,7019698.0,15580764.0,8561066.0,86.0,U,D'Angelo Russell
2018-19,Kyle Kuzma,1689840.0,10231903.0,8542063.0,70.0,U,Kyle Kuzma
2016-17,Clint Capela,1296240.0,9835539.0,8539299.0,76.0,U,Clint Capela
2010-11,Stephen Curry,2913840.0,11452765.0,8538925.0,74.0,U,Stephen Curry
2000-01,Peja Stojakovic,1480000.0,10015305.0,8535305.0,83.0,U,Predrag Stojakovic
2019-20,Damian Lillard,29802321.0,38324730.0,8522409.0,71.0,U,Damian Lillard
2019-20,James Harden,38199000.0,46718581.0,8519581.0,80.0,U,James Harden
2021-22,Frank Kaminsky,2089448.0,10594253.0,8504805.0,9.0,U,Frank Kaminsky
2004-05,Tayshaun Prince,1038960.0,9526242.0,8487282.0,107.0,U,Tayshaun Prince
2009-10,Al Horford,4307640.0,12777702.0,8470062.0,92.0,U,Al Horford
2001-02,Jason Terry,1689360.0,10134324.0,8444964.0,78.0,U,Jason Terry
2019-20,Zion Williamson,9757440.0,18160770.0,8403330.0,24.0,U,Zion Williamson
2013-14,Kevin Love,14693906.0,23088390.0,8394484.0,77.0,U,Kevin Love
2001-02,Shawn Marion,1778160.0,10163582.0,8385422.0,81.0,U,Shawn Marion
2003-04,Tony Parker,856200.0,9232977.0,8376777.0,85.0,U,Tony Parker
2009-10,Marc Gasol,3240000.0,11616388.0,8376388.0,69.0,U,Marc Gasol
2006-07,Leandro Barbosa,1679733.0,10041497.0,8361764.0,91.0,U,Leandro Barbosa
1996-97,Karl Malone,4657000.0,13017281.0,8360281.0,102.0,U,Karl Malone
